src_mac,dst_mac,src_ip,dst_ip,protocol,timestamp,label
02:00:00:cf:cc:e3,02:00:00:f7:3d:e0,10.0.0.48,10.0.0.2,6,2025-05-03T11:35:13.478821,normal
02:00:00:16:6d:b5,02:00:00:ef:85:9e,10.0.0.18,10.0.0.2,6,2025-05-03T11:35:13.479259,normal
02:00:00:8f:45:7a,02:00:00:a1:ba:67,10.0.0.89,10.0.0.2,6,2025-05-03T11:35:13.479726,normal
02:00:00:b3:b6:52,02:00:00:46:bf:8f,10.0.0.73,10.0.0.2,6,2025-05-03T11:35:13.480186,normal
02:00:00:a5:d0:47,02:00:00:49:5f:28,10.0.0.54,10.0.0.2,6,2025-05-03T11:35:13.490178,normal
02:00:00:03:55:f0,02:00:00:6f:cb:a8,10.0.0.60,10.0.0.2,6,2025-05-03T11:35:13.490721,normal
02:00:00:6a:f2:ce,02:00:00:fe:a2:32,10.0.0.57,10.0.0.2,6,2025-05-03T11:35:13.491180,normal
02:00:00:25:57:cd,02:00:00:5c:62:9c,10.0.0.64,10.0.0.2,6,2025-05-03T11:35:13.491639,normal
02:00:00:9d:ad:95,02:00:00:1a:d5:e9,10.0.0.31,10.0.0.2,6,2025-05-03T11:35:13.492975,normal
02:00:00:8c:80:9f,02:00:00:7a:6a:46,10.0.0.59,10.0.0.2,6,2025-05-03T11:35:13.493501,normal
02:00:00:33:27:19,02:00:00:d7:7c:c5,10.0.0.80,10.0.0.2,6,2025-05-03T11:35:13.493977,normal
02:00:00:a7:fb:e6,02:00:00:cd:11:2f,10.0.0.67,10.0.0.2,6,2025-05-03T11:35:13.494413,normal
02:00:00:d8:a5:df,02:00:00:3a:81:ee,10.0.0.57,10.0.0.2,6,2025-05-03T11:35:13.494886,normal
02:00:00:56:e0:53,02:00:00:e3:9c:df,10.0.0.20,10.0.0.2,6,2025-05-03T11:35:13.495332,normal
02:00:00:53:72:58,02:00:00:82:c5:fd,10.0.0.91,10.0.0.2,6,2025-05-03T11:35:13.495785,normal
02:00:00:0c:a9:b9,02:00:00:38:ff:40,10.0.0.66,10.0.0.2,6,2025-05-03T11:35:13.496225,normal
02:00:00:83:67:78,02:00:00:a4:7e:25,10.0.0.8,10.0.0.2,6,2025-05-03T11:35:13.496706,normal
02:00:00:77:25:22,02:00:00:1c:04:c6,10.0.0.9,10.0.0.2,6,2025-05-03T11:35:13.497142,normal
02:00:00:55:f5:66,02:00:00:d3:60:31,10.0.0.64,10.0.0.2,6,2025-05-03T11:35:13.497676,normal
02:00:00:c9:d6:8d,02:00:00:70:f0:33,10.0.0.57,10.0.0.2,6,2025-05-03T11:35:13.498204,normal
02:00:00:70:64:ef,02:00:00:42:2d:b8,10.0.0.29,10.0.0.2,6,2025-05-03T11:35:13.498723,normal
02:00:00:f2:70:10,02:00:00:4a:39:c3,10.0.0.27,10.0.0.2,6,2025-05-03T11:35:13.499231,normal
02:00:00:ce:8a:80,02:00:00:1c:5e:0c,10.0.0.45,10.0.0.2,6,2025-05-03T11:35:13.499786,normal
02:00:00:55:ee:bf,02:00:00:85:b8:5a,10.0.0.14,10.0.0.2,6,2025-05-03T11:35:13.500300,normal
02:00:00:57:f8:4d,02:00:00:60:83:04,10.0.0.49,10.0.0.2,6,2025-05-03T11:35:13.500831,normal
02:00:00:cc:07:80,02:00:00:76:51:48,10.0.0.2,10.0.0.2,6,2025-05-03T11:35:13.501331,normal
02:00:00:b0:b7:03,02:00:00:82:80:e8,10.0.0.74,10.0.0.2,6,2025-05-03T11:35:13.502135,normal
02:00:00:d7:49:5a,02:00:00:0e:c2:38,10.0.0.54,10.0.0.2,6,2025-05-03T11:35:13.502640,normal
02:00:00:1e:bb:46,02:00:00:14:49:fb,10.0.0.33,10.0.0.2,6,2025-05-03T11:35:13.503168,normal
02:00:00:64:14:92,02:00:00:4e:e6:f8,10.0.0.98,10.0.0.2,6,2025-05-03T11:35:13.503740,normal
02:00:00:5d:e3:9e,02:00:00:4b:fc:53,10.0.0.15,10.0.0.2,6,2025-05-03T11:35:13.504258,normal
02:00:00:7a:9c:aa,02:00:00:33:3f:bb,10.0.0.5,10.0.0.2,6,2025-05-03T11:35:13.504802,normal
02:00:00:de:b5:b9,02:00:00:23:12:1f,10.0.0.32,10.0.0.2,6,2025-05-03T11:35:13.505312,normal
02:00:00:8e:d5:ee,02:00:00:98:b7:c1,10.0.0.83,10.0.0.2,6,2025-05-03T11:35:13.506984,normal
02:00:00:c9:d3:13,02:00:00:34:f0:83,10.0.0.59,10.0.0.2,6,2025-05-03T11:35:13.507584,normal
02:00:00:bc:52:58,02:00:00:bf:4a:97,10.0.0.88,10.0.0.2,6,2025-05-03T11:35:13.508095,normal
02:00:00:70:1a:89,02:00:00:31:dd:60,10.0.0.29,10.0.0.2,6,2025-05-03T11:35:13.508558,normal
02:00:00:dc:01:de,02:00:00:00:f4:5d,10.0.0.76,10.0.0.2,6,2025-05-03T11:35:13.509431,normal
02:00:00:ac:b5:39,02:00:00:b5:2f:2a,10.0.0.90,10.0.0.2,6,2025-05-03T11:35:13.509963,normal
02:00:00:ec:b0:ba,02:00:00:7a:bb:dc,10.0.0.22,10.0.0.2,6,2025-05-03T11:35:13.510446,normal
02:00:00:42:1e:9d,02:00:00:fe:ac:b5,10.0.0.7,10.0.0.2,6,2025-05-03T11:35:13.512679,normal
02:00:00:49:f9:c6,02:00:00:77:4d:7b,10.0.0.76,10.0.0.2,6,2025-05-03T11:35:13.513180,normal
02:00:00:1d:47:b1,02:00:00:f5:23:27,10.0.0.14,10.0.0.2,6,2025-05-03T11:35:13.513747,normal
02:00:00:a3:d5:9e,02:00:00:ac:16:8d,10.0.0.25,10.0.0.2,6,2025-05-03T11:35:13.514257,normal
02:00:00:46:55:12,02:00:00:af:f9:9d,10.0.0.91,10.0.0.2,6,2025-05-03T11:35:13.514775,normal
02:00:00:4c:86:15,02:00:00:ce:f2:a8,10.0.0.51,10.0.0.2,6,2025-05-03T11:35:13.515246,normal
02:00:00:16:c0:4a,02:00:00:e8:3c:e5,10.0.0.74,10.0.0.2,6,2025-05-03T11:35:13.515781,normal
02:00:00:6c:16:96,02:00:00:b2:98:0e,10.0.0.44,10.0.0.2,6,2025-05-03T11:35:13.516278,normal
02:00:00:31:76:c1,02:00:00:52:a7:d8,10.0.0.3,10.0.0.2,6,2025-05-03T11:35:13.516823,normal
02:00:00:40:2f:08,02:00:00:bf:bb:ae,10.0.0.27,10.0.0.2,6,2025-05-03T11:35:13.517312,normal
02:00:00:c0:04:00,02:00:00:6c:3c:a6,10.0.0.22,10.0.0.2,6,2025-05-03T11:35:13.517870,normal
02:00:00:6a:ee:42,02:00:00:46:29:16,10.0.0.84,10.0.0.2,6,2025-05-03T11:35:13.519767,normal
02:00:00:d3:6d:0f,02:00:00:14:a1:fe,10.0.0.83,10.0.0.2,6,2025-05-03T11:35:13.520289,normal
02:00:00:e2:74:22,02:00:00:8f:ef:5d,10.0.0.64,10.0.0.2,6,2025-05-03T11:35:13.520822,normal
02:00:00:fe:5d:41,02:00:00:49:1e:3d,10.0.0.52,10.0.0.2,6,2025-05-03T11:35:13.521304,normal
02:00:00:f1:3b:c8,02:00:00:97:b5:62,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.521797,normal
02:00:00:31:ba:c3,02:00:00:6d:a1:7f,10.0.0.41,10.0.0.2,6,2025-05-03T11:35:13.522303,normal
02:00:00:ab:2e:51,02:00:00:59:89:25,10.0.0.14,10.0.0.2,6,2025-05-03T11:35:13.522851,normal
02:00:00:68:fb:4e,02:00:00:55:c2:10,10.0.0.38,10.0.0.2,6,2025-05-03T11:35:13.523333,normal
02:00:00:81:12:22,02:00:00:ef:38:f5,10.0.0.98,10.0.0.2,6,2025-05-03T11:35:13.523929,normal
02:00:00:6b:1c:8b,02:00:00:17:77:19,10.0.0.39,10.0.0.2,6,2025-05-03T11:35:13.524420,normal
02:00:00:91:22:e4,02:00:00:77:d1:ff,10.0.0.66,10.0.0.2,6,2025-05-03T11:35:13.524962,normal
02:00:00:01:6d:22,02:00:00:91:de:bc,10.0.0.91,10.0.0.2,6,2025-05-03T11:35:13.525461,normal
02:00:00:5d:a3:78,02:00:00:f3:70:8b,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.525960,normal
02:00:00:c7:4a:a9,02:00:00:1c:16:b3,10.0.0.78,10.0.0.2,6,2025-05-03T11:35:13.526418,normal
02:00:00:ac:45:c3,02:00:00:f9:38:69,10.0.0.4,10.0.0.2,6,2025-05-03T11:35:13.526923,normal
02:00:00:3c:62:52,02:00:00:dc:17:19,10.0.0.99,10.0.0.2,6,2025-05-03T11:35:13.527406,normal
02:00:00:dd:b1:35,02:00:00:46:5e:90,10.0.0.77,10.0.0.2,6,2025-05-03T11:35:13.527941,normal
02:00:00:df:11:aa,02:00:00:6a:02:00,10.0.0.12,10.0.0.2,6,2025-05-03T11:35:13.528404,normal
02:00:00:9f:1b:58,02:00:00:ce:1d:a7,10.0.0.8,10.0.0.2,6,2025-05-03T11:35:13.528931,normal
02:00:00:0e:67:d0,02:00:00:24:c1:f4,10.0.0.71,10.0.0.2,6,2025-05-03T11:35:13.529410,normal
02:00:00:90:3b:cc,02:00:00:b0:f9:7f,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.529950,normal
02:00:00:67:28:64,02:00:00:4b:e9:ab,10.0.0.95,10.0.0.2,6,2025-05-03T11:35:13.530456,normal
02:00:00:3d:a5:56,02:00:00:d7:23:99,10.0.0.66,10.0.0.2,6,2025-05-03T11:35:13.530975,normal
02:00:00:02:96:85,02:00:00:0a:d8:c4,10.0.0.38,10.0.0.2,6,2025-05-03T11:35:13.531488,normal
02:00:00:99:e2:b2,02:00:00:48:d8:a6,10.0.0.50,10.0.0.2,6,2025-05-03T11:35:13.531998,normal
02:00:00:e0:42:2f,02:00:00:c2:68:eb,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.532468,normal
02:00:00:87:85:bd,02:00:00:5f:bb:ba,10.0.0.87,10.0.0.2,6,2025-05-03T11:35:13.533253,normal
02:00:00:80:79:2c,02:00:00:2a:63:91,10.0.0.80,10.0.0.2,6,2025-05-03T11:35:13.533802,normal
02:00:00:44:fa:ad,02:00:00:2e:8a:1b,10.0.0.41,10.0.0.2,6,2025-05-03T11:35:13.534291,normal
02:00:00:cf:cd:81,02:00:00:b1:83:f6,10.0.0.15,10.0.0.2,6,2025-05-03T11:35:13.534788,normal
02:00:00:34:e0:20,02:00:00:d2:1c:e4,10.0.0.43,10.0.0.2,6,2025-05-03T11:35:13.535297,normal
02:00:00:36:9b:60,02:00:00:fe:31:e8,10.0.0.84,10.0.0.2,6,2025-05-03T11:35:13.535827,normal
02:00:00:f7:a4:d5,02:00:00:78:a8:1e,10.0.0.92,10.0.0.2,6,2025-05-03T11:35:13.536304,normal
02:00:00:22:ba:ad,02:00:00:f9:2d:f9,10.0.0.34,10.0.0.2,6,2025-05-03T11:35:13.536823,normal
02:00:00:b1:9d:b7,02:00:00:5b:3c:78,10.0.0.82,10.0.0.2,6,2025-05-03T11:35:13.537312,normal
02:00:00:e7:45:3a,02:00:00:7d:83:75,10.0.0.85,10.0.0.2,6,2025-05-03T11:35:13.537851,normal
02:00:00:c1:fd:3d,02:00:00:65:19:41,10.0.0.97,10.0.0.2,6,2025-05-03T11:35:13.538340,normal
02:00:00:1d:04:6d,02:00:00:ff:19:fd,10.0.0.69,10.0.0.2,6,2025-05-03T11:35:13.538847,normal
02:00:00:84:99:1c,02:00:00:d6:64:a5,10.0.0.77,10.0.0.2,6,2025-05-03T11:35:13.539286,normal
02:00:00:3c:53:4a,02:00:00:3f:3b:aa,10.0.0.45,10.0.0.2,6,2025-05-03T11:35:13.539836,normal
02:00:00:7c:87:04,02:00:00:2f:30:ff,10.0.0.14,10.0.0.2,6,2025-05-03T11:35:13.540323,normal
02:00:00:af:8f:a5,02:00:00:d5:f3:77,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.540840,normal
02:00:00:57:92:c0,02:00:00:e0:78:6a,10.0.0.55,10.0.0.2,6,2025-05-03T11:35:13.541305,normal
02:00:00:41:9c:0f,02:00:00:3d:5a:22,10.0.0.96,10.0.0.2,6,2025-05-03T11:35:13.541829,normal
02:00:00:1d:07:5b,02:00:00:1d:34:28,10.0.0.22,10.0.0.2,6,2025-05-03T11:35:13.542306,normal
02:00:00:bb:bb:a9,02:00:00:8a:e7:08,10.0.0.71,10.0.0.2,6,2025-05-03T11:35:13.542846,normal
02:00:00:3c:74:2a,02:00:00:20:fe:38,10.0.0.62,10.0.0.2,6,2025-05-03T11:35:13.543345,normal
02:00:00:59:cd:cb,02:00:00:e5:7e:b1,10.0.0.42,10.0.0.2,6,2025-05-03T11:35:13.543910,normal
02:00:00:54:54:4c,02:00:00:98:f6:12,10.0.0.19,10.0.0.2,6,2025-05-03T11:35:13.544415,normal
02:00:00:61:4a:90,02:00:00:0e:3b:68,10.0.0.23,10.0.0.2,6,2025-05-03T11:35:13.544945,normal
02:00:00:87:d4:1b,02:00:00:5f:ce:2f,10.0.0.16,10.0.0.2,6,2025-05-03T11:35:13.545396,normal
02:00:00:f0:6a:c3,02:00:00:ff:0d:ac,10.0.0.54,10.0.0.2,6,2025-05-03T11:35:13.546146,normal
02:00:00:83:f4:0d,02:00:00:c2:df:b9,10.0.0.75,10.0.0.2,6,2025-05-03T11:35:13.546685,normal
02:00:00:dd:ee:e0,02:00:00:e1:6f:4c,10.0.0.94,10.0.0.2,6,2025-05-03T11:35:13.547181,normal
02:00:00:aa:ab:19,02:00:00:ed:28:77,10.0.0.25,10.0.0.2,6,2025-05-03T11:35:13.547666,normal
02:00:00:cc:db:ad,02:00:00:c0:71:e4,10.0.0.75,10.0.0.2,6,2025-05-03T11:35:13.548180,normal
02:00:00:2f:f8:5b,02:00:00:56:d4:36,10.0.0.42,10.0.0.2,6,2025-05-03T11:35:13.548714,normal
02:00:00:86:24:fe,02:00:00:e0:e6:aa,10.0.0.88,10.0.0.2,6,2025-05-03T11:35:13.549193,normal
02:00:00:f1:6f:38,02:00:00:8b:ce:2e,10.0.0.88,10.0.0.2,6,2025-05-03T11:35:13.549732,normal
02:00:00:00:3a:40,02:00:00:3d:ff:78,10.0.0.46,10.0.0.2,6,2025-05-03T11:35:13.550233,normal
02:00:00:63:a8:31,02:00:00:21:0c:20,10.0.0.6,10.0.0.2,6,2025-05-03T11:35:13.550763,normal
02:00:00:4d:42:6b,02:00:00:0a:6e:75,10.0.0.7,10.0.0.2,6,2025-05-03T11:35:13.551253,normal
02:00:00:63:4d:97,02:00:00:5a:f0:e6,10.0.0.41,10.0.0.2,6,2025-05-03T11:35:13.551773,normal
02:00:00:10:7c:dd,02:00:00:18:8e:f0,10.0.0.30,10.0.0.2,6,2025-05-03T11:35:13.552235,normal
02:00:00:27:c9:13,02:00:00:c8:a6:3e,10.0.0.55,10.0.0.2,6,2025-05-03T11:35:13.552747,normal
02:00:00:49:b9:53,02:00:00:72:ab:62,10.0.0.52,10.0.0.2,6,2025-05-03T11:35:13.553236,normal
02:00:00:b4:84:4c,02:00:00:ab:00:73,10.0.0.87,10.0.0.2,6,2025-05-03T11:35:13.553790,normal
02:00:00:fe:4c:7d,02:00:00:d3:1e:5e,10.0.0.70,10.0.0.2,6,2025-05-03T11:35:13.554269,normal
02:00:00:b5:08:54,02:00:00:0e:da:38,10.0.0.20,10.0.0.2,6,2025-05-03T11:35:13.554777,normal
02:00:00:12:e8:0e,02:00:00:69:92:7b,10.0.0.71,10.0.0.2,6,2025-05-03T11:35:13.558771,normal
02:00:00:77:f8:29,02:00:00:b3:da:94,10.0.0.23,10.0.0.2,6,2025-05-03T11:35:13.559339,normal
02:00:00:ec:b8:e9,02:00:00:96:62:ff,10.0.0.74,10.0.0.2,6,2025-05-03T11:35:13.559871,normal
02:00:00:28:e0:25,02:00:00:12:19:8e,10.0.0.63,10.0.0.2,6,2025-05-03T11:35:13.560393,normal
02:00:00:b0:4c:6c,02:00:00:ea:8f:52,10.0.0.65,10.0.0.2,6,2025-05-03T11:35:13.560914,normal
02:00:00:26:3c:54,02:00:00:98:b4:f2,10.0.0.6,10.0.0.2,6,2025-05-03T11:35:13.561383,normal
02:00:00:7f:c3:3b,02:00:00:58:25:d5,10.0.0.64,10.0.0.2,6,2025-05-03T11:35:13.561954,normal
02:00:00:f7:cf:05,02:00:00:54:fe:bf,10.0.0.63,10.0.0.2,6,2025-05-03T11:35:13.562455,normal
02:00:00:bf:4d:6e,02:00:00:40:9e:7b,10.0.0.94,10.0.0.2,6,2025-05-03T11:35:13.562976,normal
02:00:00:7b:07:35,02:00:00:99:31:dc,10.0.0.49,10.0.0.2,6,2025-05-03T11:35:13.563477,normal
02:00:00:cd:7d:f1,02:00:00:a7:67:d7,10.0.0.74,10.0.0.2,6,2025-05-03T11:35:13.564011,normal
02:00:00:2f:39:51,02:00:00:05:60:e2,10.0.0.71,10.0.0.2,6,2025-05-03T11:35:13.564549,normal
02:00:00:bb:90:33,02:00:00:d1:a4:44,10.0.0.35,10.0.0.2,6,2025-05-03T11:35:13.565102,normal
02:00:00:e3:07:71,02:00:00:57:3f:7e,10.0.0.80,10.0.0.2,6,2025-05-03T11:35:13.565600,normal
02:00:00:13:b0:ed,02:00:00:65:46:8a,10.0.0.48,10.0.0.2,6,2025-05-03T11:35:13.566075,normal
02:00:00:ff:5f:56,02:00:00:35:0d:f5,10.0.0.90,10.0.0.2,6,2025-05-03T11:35:13.566559,normal
02:00:00:77:7a:b4,02:00:00:20:16:b9,10.0.0.7,10.0.0.2,6,2025-05-03T11:35:13.567065,normal
02:00:00:a5:69:a0,02:00:00:d2:b8:ca,10.0.0.25,10.0.0.2,6,2025-05-03T11:35:13.567546,normal
02:00:00:63:c5:a6,02:00:00:5a:46:48,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.568176,normal
02:00:00:56:d5:99,02:00:00:df:c2:88,10.0.0.76,10.0.0.2,6,2025-05-03T11:35:13.568704,normal
02:00:00:17:0c:84,02:00:00:32:45:51,10.0.0.21,10.0.0.2,6,2025-05-03T11:35:13.569198,normal
02:00:00:f4:b2:c6,02:00:00:87:a6:3f,10.0.0.65,10.0.0.2,6,2025-05-03T11:35:13.569720,normal
02:00:00:10:ab:4d,02:00:00:21:9c:9f,10.0.0.81,10.0.0.2,6,2025-05-03T11:35:13.570220,normal
02:00:00:d3:72:69,02:00:00:55:50:75,10.0.0.33,10.0.0.2,6,2025-05-03T11:35:13.571225,normal
02:00:00:32:a5:ca,02:00:00:43:75:de,10.0.0.80,10.0.0.2,6,2025-05-03T11:35:13.571803,normal
02:00:00:4d:e6:60,02:00:00:9a:14:12,10.0.0.76,10.0.0.2,6,2025-05-03T11:35:13.572299,normal
02:00:00:14:2c:36,02:00:00:30:aa:5e,10.0.0.91,10.0.0.2,6,2025-05-03T11:35:13.572784,normal
02:00:00:3c:aa:04,02:00:00:8c:88:bb,10.0.0.48,10.0.0.2,6,2025-05-03T11:35:13.573249,normal
02:00:00:5c:1c:44,02:00:00:ba:2c:aa,10.0.0.45,10.0.0.2,6,2025-05-03T11:35:13.573836,normal
02:00:00:f0:ef:0d,02:00:00:62:df:6e,10.0.0.86,10.0.0.2,6,2025-05-03T11:35:13.574334,normal
02:00:00:d3:58:bf,02:00:00:59:91:d1,10.0.0.65,10.0.0.2,6,2025-05-03T11:35:13.574847,normal
02:00:00:6d:a9:db,02:00:00:7b:e6:49,10.0.0.70,10.0.0.2,6,2025-05-03T11:35:13.575307,normal
02:00:00:9f:96:5e,02:00:00:83:ae:14,10.0.0.85,10.0.0.2,6,2025-05-03T11:35:13.575843,normal
02:00:00:3e:a0:c6,02:00:00:7c:3b:51,10.0.0.60,10.0.0.2,6,2025-05-03T11:35:13.576408,normal
02:00:00:87:3f:06,02:00:00:5f:ca:47,10.0.0.18,10.0.0.2,6,2025-05-03T11:35:13.576921,normal
02:00:00:dd:42:1f,02:00:00:c1:82:75,10.0.0.11,10.0.0.2,6,2025-05-03T11:35:13.577411,normal
02:00:00:cf:f5:92,02:00:00:e0:d7:a8,10.0.0.24,10.0.0.2,6,2025-05-03T11:35:13.577964,normal
02:00:00:b4:04:83,02:00:00:f1:11:bb,10.0.0.62,10.0.0.2,6,2025-05-03T11:35:13.578492,normal
02:00:00:d4:f7:bb,02:00:00:ce:2d:2e,10.0.0.97,10.0.0.2,6,2025-05-03T11:35:13.579002,normal
02:00:00:09:6d:6c,02:00:00:21:f6:69,10.0.0.49,10.0.0.2,6,2025-05-03T11:35:13.579482,normal
02:00:00:89:5e:3b,02:00:00:82:77:c4,10.0.0.78,10.0.0.2,6,2025-05-03T11:35:13.579972,normal
02:00:00:f6:29:e8,02:00:00:23:3c:a8,10.0.0.63,10.0.0.2,6,2025-05-03T11:35:13.580443,normal
02:00:00:2e:06:56,02:00:00:d8:7f:fe,10.0.0.47,10.0.0.2,6,2025-05-03T11:35:13.580943,normal
02:00:00:ff:4e:38,02:00:00:4d:e2:c1,10.0.0.49,10.0.0.2,6,2025-05-03T11:35:13.581436,normal
02:00:00:15:34:47,02:00:00:8e:dc:77,10.0.0.63,10.0.0.2,6,2025-05-03T11:35:13.581920,normal
02:00:00:9f:45:e3,02:00:00:f4:c4:d9,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.582380,normal
02:00:00:6a:53:6d,02:00:00:17:a9:31,10.0.0.55,10.0.0.2,6,2025-05-03T11:35:13.582888,normal
02:00:00:2d:91:fe,02:00:00:33:c8:6d,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.583399,normal
02:00:00:95:51:06,02:00:00:64:48:79,10.0.0.61,10.0.0.2,6,2025-05-03T11:35:13.584156,normal
02:00:00:b4:37:ed,02:00:00:ac:91:b4,10.0.0.83,10.0.0.2,6,2025-05-03T11:35:13.585059,normal
02:00:00:cd:cf:a1,02:00:00:ec:79:43,10.0.0.40,10.0.0.2,6,2025-05-03T11:35:13.585575,normal
02:00:00:ec:42:2f,02:00:00:70:90:95,10.0.0.58,10.0.0.2,6,2025-05-03T11:35:13.586221,normal
02:00:00:d1:60:0b,02:00:00:c9:63:1c,10.0.0.82,10.0.0.2,6,2025-05-03T11:35:13.586770,normal
02:00:00:99:7a:a5,02:00:00:eb:b5:08,10.0.0.99,10.0.0.2,6,2025-05-03T11:35:13.587286,normal
02:00:00:20:5e:b4,02:00:00:78:ad:71,10.0.0.56,10.0.0.2,6,2025-05-03T11:35:13.587831,normal
02:00:00:95:a9:2b,02:00:00:84:6f:2d,10.0.0.48,10.0.0.2,6,2025-05-03T11:35:13.588329,normal
02:00:00:51:11:92,02:00:00:59:7e:7f,10.0.0.21,10.0.0.2,6,2025-05-03T11:35:13.588867,normal
02:00:00:e2:64:f8,02:00:00:af:cf:9c,10.0.0.55,10.0.0.2,6,2025-05-03T11:35:13.589368,normal
02:00:00:df:0b:f7,02:00:00:86:0f:b1,10.0.0.88,10.0.0.2,6,2025-05-03T11:35:13.589887,normal
02:00:00:8b:6c:62,02:00:00:3a:5b:ab,10.0.0.18,10.0.0.2,6,2025-05-03T11:35:13.590360,normal
02:00:00:d8:aa:77,02:00:00:f5:84:44,10.0.0.56,10.0.0.2,6,2025-05-03T11:35:13.590917,normal
